date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:35	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2015%20Jun%202020%2016:57:34%20GMT	http://jobboard.inwavethemes.com/robots.txt		(from )
23:57:36	199437/199437	---MCZ	200	added ('OK')	text/html	etag:%226f36364653fb86e6894e796907ba4399%22	http://jobboard.inwavethemes.com/home-default/	D:/duyenweb/duyenweb/jobboard.inwavethemes.com/home-default/index.html	(from )
23:57:42	1400358/1400358	---MCZ	200	added ('OK')	text/css	etag:%22155e26-5a479478384db-gzip%22	http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css	D:/duyenweb/duyenweb/static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css	(from http://jobboard.inwavethemes.com/home-default/)
23:57:43	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2015%20Jun%202020%2016:57:43%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/uploads/2018/05/company_cover_12.jpg?id=4366	D:/duyenweb/duyenweb/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/uploads/2018/05/company_cover_12.1c7da.delayed	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:44	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2015%20Jun%202020%2016:57:44%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	D:/duyenweb/duyenweb/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:44	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-590c466dec118%22	http://jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	D:/duyenweb/duyenweb/jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:48	126188/126188	---M--	200	added ('OK')	image/jpeg	etag:%221ecec-5831763697345%22	http://jobboard.inwavethemes.com/wp-content/uploads/2018/05/company_cover_12.jpg?id=4366	D:/duyenweb/duyenweb/jobboard.inwavethemes.com/wp-content/uploads/2018/05/company_cover_12c7da.jpg	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:48	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2015%20Jun%202020%2016:57:44%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/inwave-common/assets/images/bg-info-item4.png	D:/duyenweb/duyenweb/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/inwave-common/assets/images/bg-info-item4.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:49	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2015%20Jun%202020%2016:57:48%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	D:/duyenweb/duyenweb/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:49	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-56812912e8b80%22	http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	D:/duyenweb/duyenweb/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:49	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2015%20Jun%202020%2016:57:49%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/owlcarousel/assets/owl.video.play.png	D:/duyenweb/duyenweb/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/owlcarousel/assets/owl.video.play.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:50	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2015%20Jun%202020%2016:57:50%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/images/bg_dah_employer_detail.png	D:/duyenweb/duyenweb/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/images/bg_dah_employer_detail.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:50	4976/4976	---M--	200	added ('OK')	image/png	etag:%221370-56a51a2379480%22	http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/owlcarousel/assets/owl.video.play.png	D:/duyenweb/duyenweb/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/owlcarousel/assets/owl.video.play.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:51	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2015%20Jun%202020%2016:57:51%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/themes/injob/assets/images/404_bg.jpg	D:/duyenweb/duyenweb/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/themes/injob/assets/images/404_bg.jpg	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:52	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2015%20Jun%202020%2016:57:51%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/uploads/2018/05/job_heading_bg.jpg	D:/duyenweb/duyenweb/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/uploads/2018/05/job_heading_bg.jpg	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:57:58	109318/109318	---M--	200	added ('OK')	image/png	etag:%221ab06-5956633522842%22	http://jobboard.inwavethemes.com/wp-content/plugins/inwave-common/assets/images/bg-info-item4.png	D:/duyenweb/duyenweb/jobboard.inwavethemes.com/wp-content/plugins/inwave-common/assets/images/bg-info-item4.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:58:00	0/0	---M-Z	302	error ('Found')	text/html	date:Mon,%2015%20Jun%202020%2016:58:00%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/js_composer/assets/vc/alert.png	D:/duyenweb/duyenweb/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/js_composer/assets/vc/alert.11.delayed	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:58:03	75559/75559	---M--	200	added ('OK')	image/jpeg	etag:%2212727-5831763698ab5%22	http://jobboard.inwavethemes.com/wp-content/uploads/2018/05/job_heading_bg.jpg	D:/duyenweb/duyenweb/jobboard.inwavethemes.com/wp-content/uploads/2018/05/job_heading_bg.jpg	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
23:58:06	124553/124553	---M--	200	added ('OK')	image/png	etag:%221e689-56812912e8b80%22	http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/images/bg_dah_employer_detail.png	D:/duyenweb/duyenweb/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/images/bg_dah_employer_detail.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_7bb037dd8f062a1e93ffec5e5142f7f2.css)
