date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:40	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2018%20Jun%202020%2011:47:40%20GMT	http://jobboard.inwavethemes.com/robots.txt		(from )
18:47:41	384174/384174	---MCZ	200	added ('OK')	text/html	etag:%22a08de96fa0025e93f9a9727db777f772%22	http://jobboard.inwavethemes.com/candidates/	D:/duyenwebsub/jobboard.inwavethemes.com/candidates/index.html	(from )
18:47:48	1388362/1388362	---MCZ	200	added ('OK')	text/css	etag:%22152f4a-5a4788508991e-gzip%22	http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_aac7110e68991004555dfd874c05801f.css	D:/duyenwebsub/static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_aac7110e68991004555dfd874c05801f.css	(from http://jobboard.inwavethemes.com/candidates/)
18:47:51	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2011:47:51%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	D:/duyenwebsub/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.1.delayed	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_aac7110e68991004555dfd874c05801f.css)
18:47:52	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-590c466dec118%22	http://jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	D:/duyenwebsub/jobboard.inwavethemes.com/wp-content/plugins/contact-form-7/images/ajax-loader.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_aac7110e68991004555dfd874c05801f.css)
18:47:52	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2011:47:52%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/inwave-common/assets/images/bg-info-item4.png	D:/duyenwebsub/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/inwave-common/assets/images/bg-info-item4.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_aac7110e68991004555dfd874c05801f.css)
18:47:53	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2011:47:53%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	D:/duyenwebsub/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_aac7110e68991004555dfd874c05801f.css)
18:47:54	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2011:47:54%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/owlcarousel/assets/owl.video.play.png	D:/duyenwebsub/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/owlcarousel/assets/owl.video.play.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_aac7110e68991004555dfd874c05801f.css)
18:47:54	847/847	---M--	200	added ('OK')	image/gif	etag:%2234f-56812912e8b80%22	http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	D:/duyenwebsub/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/img/loading.gif	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_aac7110e68991004555dfd874c05801f.css)
18:47:55	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2018%20Jun%202020%2011:47:55%20GMT	https://cdn.shortpixel.ai/client/q_glossy,ret_img/http://jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/images/bg_dah_employer_detail.png	D:/duyenwebsub/cdn.shortpixel.ai/client/q_glossy,ret_img/http_/jobboard.inwavethemes.com/wp-content/plugins/iwjob/assets/images/bg_dah_employer_detail.png	(from http://static-jobboard.inwavethemes.com/wp-content/cache/autoptimize/css/autoptimize_aac7110e68991004555dfd874c05801f.css)
